ORF	Gene_name	Phenotypic_potential	AMS_PPI_degree	LC_SLI_degree	Haploid_fitness	Description
YKR024C	DBP7	1.071	19	3	0.602	Putative ATP-dependent RNA helicase of the DEAD-box family involved in ribosomal biogenesis
YEL030W	ECM10	1.071	25	NA	0.993	Heat shock protein of the Hsp70 family, localized in mitochondrial nucleoids, plays a role in protein translocation, interacts with Mge1p in an ATP-dependent manner; overexpression induces extensive mitochondrial DNA aggregations
YGL003C	CDH1	1.07	8	14	0.887	Cell-cycle regulated activator of the anaphase-promoting complex/cyclosome (APC/C), which directs ubiquitination of cyclins resulting in mitotic exit; targets the APC/C to specific substrates including CDC20, ASE1, CIN8 and FIN1
YDR455C	YDR455C	1.069	NA	NA	0.991	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene YDR456W
YKL170W	MRPL38	1.069	3	NA	0.925	Mitochondrial ribosomal protein of the large subunit; appears as two protein spots (YmL34 and YmL38) on two-dimensional SDS gels
YKL101W	HSL1	1.068	5	10	1.05	Nim1p-related protein kinase that regulates the morphogenesis and septin checkpoints; associates with the assembled septin filament; required along with Hsl7p for bud neck recruitment, phosphorylation, and degradation of Swe1p
YNL219C	ALG9	1.067	NA	2	1.019	Mannosyltransferase, involved in N-linked glycosylation; catalyzes the transfer of mannose from Dol-P-Man to lipid-linked oligosaccharides; mutation of the human ortholog causes type 1 congenital disorders of glycosylation
YPL239W	YAR1	1.067	1	1	0.714	Cytoplasmic ankyrin-repeat containing protein of unknown function, proposed to link the processes of 40S ribosomal subunit biogenesis and adaptation to osmotic and oxidative stress; expression repressed by heat shock
YGL251C	HFM1	1.067	3	NA	1.002	Meiosis specific DNA helicase involved in the conversion of double-stranded breaks to later recombination intermediates and in crossover control; catalyzes the unwinding of Holliday junctions; has ssDNA and dsDNA stimulated ATPase activity
YMR241W	YHM2	1.066	4	NA	0.942	Mitochondrial DNA-binding protein, component of the mitochondrial nucleoid structure, involved in mtDNA replication and segregation of mitochondrial genomes; member of the mitochondrial carrier protein family
YLR329W	REC102	1.065	NA	1	1.01	Protein involved in early stages of meiotic recombination; required for chromosome synapsis; forms a complex with Rec104p and Spo11p necessary during the initiation of recombination
YPL183W-A	YPL183W-A	1.064	2	1	1.027	Homolog of the prokaryotic ribosomal protein L36, likely to be a mitochondrial ribosomal protein coded in the nuclear genome
YCR027C	RHB1	1.062	NA	NA	0.933	Putative Rheb-related GTPase involved in regulating canavanine resistance and arginine uptake; member of the Ras superfamily of G-proteins
YHR193C	EGD2	1.062	19	NA	NA	Alpha subunit of the heteromeric nascent polypeptide-associated complex (NAC) involved in protein sorting and translocation, associated with cytoplasmic ribosomes
YOL014W	YOL014W	1.062	NA	1	1.023	Putative protein of unknown function
YNL077W	APJ1	1.061	NA	NA	0.977	Putative chaperone of the HSP40 (DNAJ) family; overexpression interferes with propagation of the [Psi+] prion; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YHL031C	GOS1	1.06	NA	9	0.892	v-SNARE protein involved in Golgi transport, homolog of the mammalian protein GOS-28/GS28
YNL205C	YNL205C	1.059	NA	NA	1.037	Dubious ORF unlikely to encode a functional protein, based on available experimental and comparative sequence data
YJR048W	CYC1	1.059	NA	NA	1.005	Cytochrome c, isoform 1; electron carrier of the mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration
YPL261C	YPL261C	1.056	NA	NA	1.051	Dubious open reading frame unlikely to encode a protein; partially overlaps the uncharacterized ORF YPL260W
YDR443C	SSN2	1.056	25	3	0.922	Protein required for stable association of Srb10p-Srb11p kinase with RNA polymerase holoenzyme; subunit of the RNA polymerase II mediator complex; essential for transcriptional regulation
YIL121W	QDR2	1.056	1	3	0.978	Multidrug transporter required for resistance to quinidine, barban, cisplatin, and bleomycin; may have a role in potassium uptake; member of the major facilitator superfamily of transporters conferring multiple drug resistance (MFS-MDR)
YOR167C	RPS28A	1.055	NA	NA	0.946	Protein component of the small (40S) ribosomal subunit; nearly identical to Rps28Bp and has similarity to rat S28 ribosomal protein
YJR025C	BNA1	1.054	1	1	1.038	3-hydroxyanthranilic acid dioxygenase, required for biosynthesis of nicotinic acid from tryptophan via kynurenine pathway
YDR024W	YDR024W	1.053	NA	NA	0.757	Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; mutation decreases survival upon exposure to K1 killer toxin
YPR044C	YPR044C	1.052	NA	NA	0.795	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified gene RPL43A/YPR043W; deletion confers sensitivity to GSAO
YHL025W	SNF6	1.052	14	NA	NA	Subunit of the SWI/SNF chromatin remodeling complex involved in transcriptional regulation; functions interdependently in transcriptional activation with Snf2p and Snf5p
YJL191W	RPS14B	1.051	25	1	0.991	Ribosomal protein 59 of the small subunit, required for ribosome assembly and 20S pre-rRNA processing; mutations confer cryptopleurine resistance; nearly identical to Rps14Ap and similar to E. coli S11 and rat S14 ribosomal proteins
YLR266C	PDR8	1.051	NA	NA	1.002	Transcription factor; targets include ATP-binding cassette (ABC) transporters, major facilitator superfamily transporters, and other genes involved in the pleiotropic drug resistance (PDR) phenomenon
YNR052C	POP2	1.05	13	72	0.74	RNase of the DEDD superfamily, subunit of the Ccr4-Not complex that mediates 3' to 5' mRNA deadenylation
YLR023C	IZH3	1.049	1	NA	1.002	Membrane protein involved in zinc metabolism, member of the four-protein IZH family, expression induced by zinc deficiency; deletion reduces sensitivity to elevated zinc and shortens lag phase, overexpression reduces Zap1p activity
YLR065C	YLR065C	1.048	NA	2	1.018	Putative protein of unknown function; YLR065C is not an essential gene
YBR094W	YBR094W	1.047	5	19	0.973	Putative tubulin tyrosine ligase associated with P-bodies
YOL056W	GPM3	1.047	NA	NA	1.053	Homolog of Gpm1p phosphoglycerate mutase, which converts 3-phosphoglycerate to 2-phosphoglycerate in glycolysis; may be non-functional derivative of a gene duplication event
YDL005C	MED2	1.045	29	9	NA	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation
YFR020W	YFR020W	1.045	NA	NA	0.955	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data
YBR185C	MBA1	1.045	2	NA	1.02	Protein involved in assembly of mitochondrial respiratory complexes; may act as a receptor for proteins destined for export from the mitochondrial matrix to the inner membrane
YGR273C	YGR273C	1.044	NA	NA	1.034	Putative protein of unknown function; deletion mutant has no readily detectable phenotype
YOR349W	CIN1	1.044	4	46	0.983	Tubulin folding factor D involved in beta-tubulin (Tub2p) folding; isolated as mutant with increased chromosome loss and sensitivity to benomyl
YBR116C	YBR116C	1.044	NA	NA	NA	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene TKL2
YDR020C	YDR020C	1.041	NA	NA	0.968	Predicted protein shares weak similarity with uridine kinases and with phosphoribokinases; null exhibits no apparent phenotype
YLR374C	YLR374C	1.041	NA	NA	0.891	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF STP3/YLR375W
YDL160C	DHH1	1.041	22	8	0.661	Cytoplasmic DExD/H-box helicase, stimulates mRNA decapping, coordinates distinct steps in mRNA function and decay, interacts with both the decapping and deadenylase complexes, may have a role in mRNA export and translation
YLR320W	MMS22	1.041	18	32	0.793	Protein involved in resistance to ionizing radiation; acts with Mms1p in a repair pathway that may be involved in resolving replication intermediates or preventing the damage caused by blocked replication forks
YLR169W	YLR169W	1.04	NA	NA	0.969	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data
YNL315C	ATP11	1.039	2	NA	0.995	Molecular chaperone, required for the assembly of alpha and beta subunits into the F1 sector of mitochondrial F1F0 ATP synthase
YML052W	SUR7	1.038	1	NA	1.044	Putative integral membrane protein; component of eisosomes; associated with endocytosis, along with Pil1p and Lsp1p; sporulation and plasma membrane sphingolipid content are altered in mutants
YOL091W	SPO21	1.037	NA	1	1.01	Component of the meiotic outer plaque of the spindle pole body, involved in modifying the meiotic outer plaque that is required prior to prospore membrane formation
YBR170C	NPL4	1.037	8	3	NA	Endoplasmic reticulum and nuclear membrane protein, forms a complex with Cdc48p and Ufd1p that recognizes ubiquitinated proteins in the endoplasmic reticulum and delivers them to the proteasome for degradation
YCL047C	YCL047C	1.037	1	NA	0.988	Putative protein of unknown function
YDR503C	LPP1	1.036	NA	NA	1.029	Lipid phosphate phosphatase, catalyzes Mg(2+)-independent dephosphorylation of phosphatidic acid (PA), lysophosphatidic acid, and diacylglycerol pyrophosphate; involved in control of the cellular levels of phosphatidylinositol and PA
YJL060W	BNA3	1.036	1	1	0.993	Arylformamidase, involved in biosynthesis of nicotinic acid from tryptophan via kynurenine pathway; potential Cdc28p substrate
YDR123C	INO2	1.036	1	1	1.038	Component of the heteromeric Ino2p/Ino4p basic helix-loop-helix transcription activator that binds inositol/choline-responsive elements (ICREs), required for derepression of phospholipid biosynthetic genes in response to inositol depletion
YHR100C	YHR100C	1.035	NA	NA	0.686	Putative protein of unknown function, required for respiratory growth; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YOR062C	YOR062C	1.034	NA	NA	0.997	Protein of unknown function; similar to YKR075Cp and Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS
YBR127C	VMA2	1.034	28	11	0.695	Subunit B of the eight-subunit V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system; contains nucleotide binding sites; also detected in the cytoplasm
YOR025W	HST3	1.033	NA	12	0.971	Member of the Sir2 family of NAD(+)-dependent protein deacetylases; involved along with Hst4p in telomeric silencing, cell cycle progression, radiation resistance, genomic stability and short-chain fatty acid metabolism
YNR020C	YNR020C	1.032	NA	1	0.643	Putative metalloprotease of the mitochondrial inner membrane, required for processing of Atp6p; has an additional role in assembly of the F0 sector of the F1F0 ATP synthase complex
YIL008W	URM1	1.032	NA	5	0.845	Ubiquitin-like protein with only weak sequence similarity to ubiquitin; depends on the E1-like activating enzyme Uba4p; molecular function of the Urm1p pathway is unknown, but it is required for normal growth, particularly at high temperature
YLR193C	UPS1	1.03	NA	NA	0.922	Mitochondrial intermembrane space protein that regulates alternative processing and sorting of Mgm1p and other proteins; required for normal mitochondrial morphology; ortholog of human PRELI
YDR493W	FMP36	1.03	NA	NA	1.04	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YCL056C	YCL056C	1.03	NA	1	1.023	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern
YML102C-A	YML102C-A	NA	NA	NA	NA	NA
YPL161C	BEM4	1.027	3	21	0.831	Protein involved in establishment of cell polarity and bud emergence; interacts with the Rho1p small GTP-binding protein and with the Rho-type GTPase Cdc42p; involved in maintenance of proper telomere length
YHL033C	RPL8A	1.025	70	NA	0.9	Ribosomal protein L4 of the large (60S) ribosomal subunit, nearly identical to Rpl8Bp and has similarity to rat L7a ribosomal protein; mutation results in decreased amounts of free 60S subunits
YKL121W	YKL121W	1.025	NA	NA	1.055	Putative protein of unknown function
YBR021W	FUR4	1.025	NA	1	0.933	Uracil permease, localized to the plasma membrane; expression is tightly regulated by uracil levels and environmental cues
YBR099C	YBR099C	1.024	NA	NA	0.962	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; completely overlaps the verified gene MMS4
